Atleta,AVG_VO2,MAX_VO2,Data,,Atleta
Atleta 6,33.5,85.9,13/12/2024,,Atleta 6
Atleta 6,31.9,49.2,10/12/2024,,Atleta 6
Atleta 6,32.5,80.1,05/12/2024,,Atleta 6
Atleta 6,31.8,85.6,03/12/2024,,Atleta 6
Atleta 6,32.6,81.6,28/11/2024,,Atleta 6
Atleta 6,32.5,75.2,26/11/2024,,Atleta 6
Atleta 6,32.5,75.6,22/11/2024,,Atleta 6
Atleta 6,32.2,80.7,19/11/2024,,Atleta 6
Atleta 6,32.4,68.2,14/11/2024,,Atleta 6
Atleta 6,31.7,59.2,12/11/2024,,Atleta 6
Atleta 3,29.8,70.7,13/12/2024,,Atleta 3
Atleta 3,30,70.3,10/12/2024,,Atleta 3
Atleta 3,29.2,80,03/12/2024,,Atleta 3
Atleta 3,29.5,78.5,29/11/2024,,Atleta 3
Atleta 3,29.5,71.5,22/11/2024,,Atleta 3
Atleta 3,30,82.8,19/11/2024,,Atleta 3
Atleta 3,29.9,71.5,12/11/2024,,Atleta 3
Atleta 3,30.3,71.6,14/11/2024,,Atleta 3
Atleta 1,26,61.3,29/11/2024,,Atleta 1
Atleta 1,27.2,69.6,28/11/2024,,Atleta 1
Atleta 1,26.7,62.8,26/11/2024,,Atleta 1
Atleta 1,25.9,63.5,22/11/2024,,Atleta 1
Atleta 1,24.4,64.4,19/11/2024,,Atleta 1
Atleta 1,26.4,61.6,03/12/2024,,Atleta 1
Atleta 1,26.2,56.9,10/12/2024,,Atleta 1
Atleta 7,16.5,35.4,28/11/2024,,Atleta 7
Atleta 7,16.2,31.5,26/11/2024,,Atleta 7
Atleta 7,16.3,36.3,21/11/2024,,Atleta 7
Atleta 7,16.3,35.4,03/12/2024,,Atleta 7
Atleta 7,16.1,39.8,17/12/2024,,Atleta 7
Atleta 8,20.6,45.5,28/11/2024,,Atleta 8
Atleta 8,19.5,63.5,26/11/2024,,Atleta 8
Atleta 8,16.5,34.2,03/12/2024,,Atleta 8
Atleta 8,19.7,34,17/12/2024,,Atleta 8
